Subject,sex,mstatus,age,occupation,educyrs,distwork,workyrs,annualinc,famsize,ressize
434,1,1,43,3,16,27,14,37,1,22
438,1,2,31,3,12,30,6,42,3,28
447,1,2,40,3,16,30,17,35,3,34
448,1,2,45,3,12,34,20,23,3,20
450,1,2,33,3,12,14,2,31,2,26
453,1,1,30,3,16,18,3,41,1,14
460,1,2,33,3,16,28,10,48,3,30
463,1,2,37,3,16,7,14,45,5,35
467,1,2,21,3,12,8,2,1,2,5
470,1,2,28,3,14,16,3,32,4,30
472,1,2,25,3,12,5,3,20,3,17
473,2,1,26,3,14,19,2,11,1,4
475,1,2,32,3,16,30,4,45,5,39
481,2,3,39,3,16,13,13,13,2,10
482,1,2,43,3,16,6,18,38,3,31
486,1,2,20,3,12,20,2,14,1,5
491,2,3,30,3,12,8,6,14,2,14
492,2,1,27,3,14,22,3,11,1,4
500,1,1,35,3,16,19,6,48,5,37
514,1,2,43,3,16,32,13,46,2,26
521,1,1,18,3,12,28,1,13,1,4
523,1,2,29,3,14,25,2,39,3,29
527,2,1,37,3,14,8,6,13,1,4
530,2,3,28,3,14,25,2,12,3,14
538,1,1,18,3,12,23,2,10,1,4
542,1,1,22,3,12,35,3,17,1,7
543,1,2,27,3,14,10,4,27,5,20
546,1,2,36,3,12,21,9,28,3,25
549,1,2,44,3,12,5,24,24,2,19
554,1,1,37,3,16,32,11,47,1,10
560,1,2,26,3,14,16,5,28,4,22
566,2,3,38,3,14,16,8,14,4,18
570,1,2,38,3,16,5,14,52,5,38
578,2,3,49,3,14,18,20,14,5,16
580,1,2,28,3,16,9,4,25,2,16
586,1,1,41,3,16,21,12,32,1,9
587,2,3,29,3,12,14,9,15,2,6
591,1,1,18,3,12,33,2,14,1,6
593,1,2,31,3,16,35,4,47,4,39
597,1,2,27,3,15,12,5,22,4,17
601,1,2,21,3,14,11,2,12,2,6
603,2,3,33,3,14,21,11,15,1,7
606,1,3,34,3,16,15,8,39,1,8
608,2,1,25,3,16,10,2,14,1,9
609,1,2,29,3,16,35,4,46,5,38
610,1,2,30,3,15,32,7,40,4,38
614,1,2,41,3,12,18,19,21,4,21
620,1,3,42,3,16,26,14,23,1,7
625,2,1,38,3,12,18,9,11,1,5
633,1,1,23,3,12,18,1,17,1,5
635,1,2,32,3,14,32,7,24,4,16
636,1,3,18,3,12,7,1,13,1,6
638,1,2,38,3,16,26,12,52,4,36
641,1,2,45,3,16,11,20,40,3,35
644,1,3,40,3,12,7,19,26,1,9
649,1,1,31,3,14,10,7,24,1,7
650,1,1,22,3,12,24,4,17,1,6
651,1,1,36,3,12,33,7,27,1,9
654,1,2,42,3,12,25,17,24,4,20
662,1,2,37,3,15,24,17,20,4,16
663,1,2,30,3,16,5,4,45,4,38
666,2,3,47,3,14,24,19,14,5,14
680,2,1,27,3,12,12,4,12,1,4
682,1,1,25,3,14,35,5,18,1,6
683,1,1,19,3,12,17,2,10,1,4
684,1,2,28,3,16,5,4,35,5,30
686,1,3,18,3,12,29,1,10,1,4
693,1,2,39,3,12,30,15,20,4,19
695,2,3,33,3,16,5,6,17,2,16
703,1,3,31,3,16,34,1,44,1,10
705,1,2,35,3,14,14,5,34,3,36
711,2,1,28,3,12,28,3,12,1,4
713,1,2,42,3,16,16,20,40,3,35
716,1,2,24,3,16,20,2,18,2,17
722,1,3,51,3,16,5,16,42,2,34
723,1,2,43,3,14,32,15,29,3,20
726,1,2,47,3,16,22,21,42,4,33
734,2,3,32,3,14,9,7,10,2,5
738,1,2,28,3,16,24,1,33,3,27
741,1,1,32,3,16,7,1,40,1,15
742,1,2,35,3,16,24,4,48,5,39
751,1,2,49,3,16,9,22,41,3,33
753,1,2,47,3,12,27,19,29,3,22
756,1,1,43,3,16,33,13,34,1,15
757,1,2,51,3,12,35,28,27,2,20
761,1,2,53,3,16,20,27,36,3,31
762,1,2,40,3,17,22,21,24,4,22
764,1,2,33,3,12,9,4,35,2,16
769,1,2,37,3,16,19,16,51,5,20
770,1,2,26,3,14,15,4,21,4,17
776,1,2,38,3,16,14,11,52,5,36
778,1,2,48,3,16,24,22,27,4,24
781,1,2,54,3,16,10,27,39,4,35
784,1,3,54,3,12,24,29,30,3,30
786,2,3,44,3,12,10,16,11,3,8
789,1,2,23,3,14,35,3,18,3,21
793,1,2,49,3,12,12,24,22,2,19
794,1,2,39,3,12,16,19,24,4,31
796,1,1,40,3,16,15,16,32,1,32
802,2,1,35,3,14,25,11,12,1,6
812,1,2,45,3,16,29,15,32,3,24
813,2,3,31,3,14,17,6,12,3,10
818,1,1,48,3,16,15,21,30,1,20
820,1,1,34,3,12,29,13,32,1,10
822,1,2,26,3,12,35,8,22,4,16
823,1,2,36,3,16,13,9,36,3,37
824,2,1,20,3,12,16,2,10,1,4
826,1,2,53,3,16,34,17,41,2,20
834,1,1,24,3,15,13,2,16,1,7
835,1,2,46,3,14,14,20,31,3,23
838,1,2,27,3,16,10,4,29,5,20
839,1,2,25,3,16,17,2,26,3,20
840,2,1,39,3,12,24,13,15,1,5
847,1,3,54,3,16,23,12,32,1,22
848,1,1,38,3,16,35,14,54,1,38
855,2,3,31,3,14,7,3,17,3,25
858,1,2,28,3,15,15,5,32,4,38
863,1,2,58,3,16,10,16,38,3,36
868,1,2,51,3,16,31,23,37,5,36
878,1,2,26,3,12,29,2,20,4,15
880,1,1,19,3,12,21,2,11,1,6
883,1,2,54,3,16,18,20,40,3,37
888,2,1,34,3,12,8,6,14,1,7
893,2,1,33,3,12,17,5,10,1,5
897,1,2,60,3,12,19,32,23,2,20
905,1,1,51,3,14,9,20,24,1,22
907,1,1,53,3,14,30,14,20,1,20
913,1,2,49,3,16,9,11,42,3,24
917,2,3,34,3,12,8,7,16,2,12
920,2,3,37,3,12,20,8,17,1,6
922,1,2,47,3,16,22,21,32,3,22
923,1,3,50,3,12,27,28,26,1,5
927,1,1,19,3,12,31,1,10,1,4
935,1,2,44,3,16,33,21,29,4,19
939,1,2,53,3,12,20,25,33,4,20
942,2,1,36,3,14,15,7,16,1,5
947,1,1,27,3,12,34,5,30,1,9
951,1,1,57,3,18,9,17,30,1,8
956,1,2,52,3,12,28,21,32,3,30
965,1,2,49,3,16,27,12,40,4,34
968,1,3,48,3,12,35,2,24,3,19
969,2,3,39,3,12,8,14,13,4,19
977,1,2,39,3,12,35,19,26,4,21
978,1,2,53,3,16,29,23,45,3,37
981,1,3,47,3,16,14,17,33,1,24
986,1,2,57,3,14,33,28,30,2,22
987,2,3,35,3,14,10,7,18,1,7
988,1,2,56,3,12,25,32,26,2,19
990,1,2,40,3,16,23,16,32,4,23
997,1,2,50,3,12,35,19,27,3,22
999,1,1,28,3,16,11,1,36,1,10
1,1,2,29,4,14,12,5,24,4,26
4,1,2,54,4,14,18,20,23,3,20
5,1,2,44,4,12,5,20,21,3,19
12,1,2,44,4,16,14,20,31,4,30
16,1,1,44,4,14,28,20,22,1,19
20,1,2,53,4,12,26,16,18,3,17
24,1,2,58,4,14,32,16,24,2,19
25,1,2,43,4,12,31,21,17,4,17
30,1,2,40,4,16,17,10,29,4,28
35,2,1,18,4,12,6,1,11,1,6
38,1,2,42,4,16,33,12,24,4,20
39,1,2,50,4,14,25,14,20,3,18
41,1,2,45,4,14,31,23,24,4,20
49,1,2,45,4,16,17,15,22,3,19
54,1,2,18,4,12,23,1,10,2,4
55,1,2,53,4,14,12,11,21,2,20
59,2,1,42,4,16,30,6,13,1,5
61,1,2,48,4,16,27,21,30,3,32
68,1,2,51,4,14,30,20,21,3,19
69,1,2,44,4,12,20,12,20,4,18
72,1,2,20,4,13,35,3,11,3,6
74,1,2,47,4,16,16,16,25,3,22
75,1,2,54,4,14,32,28,23,3,21
77,1,2,57,4,14,27,22,24,2,21
83,2,2,49,4,12,7,14,13,5,16
85,1,2,49,4,12,16,10,17,4,18
87,1,2,30,4,14,20,3,29,4,27
90,1,2,52,4,14,30,12,19,2,18
98,1,2,48,4,16,34,10,28,3,27
100,1,1,60,4,14,10,24,25,1,21
110,1,2,21,4,13,10,2,11,3,7
116,2,2,48,4,14,23,8,13,6,11
119,1,1,59,4,14,9,32,21,1,19
121,1,3,58,4,16,32,20,24,2,20
126,2,1,27,4,12,15,8,10,1,5
130,1,2,41,4,14,17,17,19,3,16
133,1,2,43,4,12,16,18,21,3,19
141,1,1,30,4,14,26,5,25,5,17
153,1,1,49,4,16,9,22,22,1,19
156,1,1,21,4,15,9,2,15,1,6
162,1,3,41,4,16,13,14,20,1,6
165,1,2,58,4,14,14,30,21,2,19
168,1,2,42,4,16,9,20,22,4,20
174,1,2,51,4,14,27,20,21,3,20
176,1,2,31,4,14,10,7,30,3,26
177,1,2,21,4,12,27,3,16,3,8
180,1,2,50,4,16,20,16,24,3,21
182,1,1,54,4,12,34,26,17,1,12
189,1,2,53,4,16,23,20,21,3,20
197,1,2,49,4,14,20,28,19,4,18
206,2,3,36,4,14,10,9,13,3,18
209,1,1,20,4,12,25,1,10,1,7
214,1,1,18,4,12,15,1,10,1,5
216,1,1,22,4,14,32,2,12,1,4
217,1,2,35,4,14,12,5,26,4,15
225,1,2,42,4,12,8,14,18,4,27
229,1,3,53,4,12,16,27,21,1,19
245,2,3,33,4,12,9,12,14,4,12
246,2,3,27,4,12,15,4,12,1,8
255,1,2,34,4,13,35,9,22,4,15
258,1,2,48,4,12,23,24,17,2,21
259,1,2,42,4,14,8,20,22,3,20
262,1,3,29,4,15,17,6,30,1,8
264,1,2,18,4,12,18,1,10,2,5
265,1,2,32,4,14,12,8,31,4,17
274,2,3,40,4,12,22,10,13,5,14
277,1,1,20,4,13,20,2,12,1,6
279,1,1,23,4,16,26,1,19,1,7
282,1,1,18,4,12,22,2,10,1,4
287,2,1,26,4,14,21,2,14,1,6
297,1,2,26,4,12,12,6,15,3,18
301,1,2,36,4,14,33,9,24,4,16
306,1,3,43,4,12,28,17,19,1,7
312,2,3,34,4,15,11,10,13,3,12
316,1,1,18,4,12,11,1,14,1,6
319,1,1,20,4,12,31,1,15,1,6
324,2,3,25,4,12,16,9,13,2,6
333,1,2,36,4,12,9,8,29,5,27
337,1,2,31,4,15,19,5,30,5,36
340,1,2,20,4,14,8,3,14,3,11
344,1,2,33,4,14,15,2,32,5,28
347,2,1,49,4,13,11,26,11,1,6
351,1,1,21,4,12,21,1,12,1,6
362,1,1,22,4,14,28,2,14,1,6
364,1,2,44,4,14,33,22,21,3,21
368,1,2,25,4,16,28,2,22,3,18
369,1,2,28,4,14,12,3,24,6,19
372,1,2,20,4,12,23,2,15,3,12
373,1,3,42,4,18,20,16,17,1,4
379,1,2,37,4,12,5,16,20,5,14
381,1,2,31,4,16,30,2,35,4,28
386,1,1,35,4,12,22,2,12,1,4
387,1,2,21,4,13,9,3,18,4,16
393,1,2,34,4,12,34,14,20,4,18
395,1,2,30,4,12,12,23,19,2,19
396,1,1,33,4,16,27,1,13,1,5
409,1,2,42,4,12,30,12,18,3,19
424,1,1,18,4,12,12,1,10,1,5
426,1,2,35,4,14,34,3,29,3,25
427,1,2,19,4,12,26,2,11,2,9
429,1,3,23,4,15,23,5,15,1,6
432,2,3,25,4,16,15,2,14,2,14
435,1,2,24,4,16,33,3,21,3,22
436,1,1,20,4,12,29,2,12,1,4
439,1,1,21,4,12,29,3,14,1,6
442,1,2,39,4,16,30,12,28,5,22
443,1,3,47,4,14,13,21,24,3,21
452,2,3,24,4,14,13,4,14,2,12
455,1,2,26,4,13,17,8,18,3,15
459,1,2,30,4,13,30,2,30,4,18
461,2,1,36,4,12,15,11,11,1,6
471,2,3,26,4,13,15,4,12,2,9
478,1,2,24,4,14,6,1,17,3,18
479,1,1,18,4,12,13,1,12,1,4
480,1,2,40,4,14,12,15,21,2,20
484,1,2,19,4,12,34,1,13,2,6
485,1,2,41,4,16,9,11,31,4,25
489,2,1,48,4,12,11,18,12,1,5
490,1,2,27,4,14,12,7,22,4,16
497,2,1,34,4,14,9,3,10,1,4
499,2,3,27,4,12,8,5,11,2,9
515,1,1,21,4,15,10,1,15,1,6
516,1,2,48,4,12,16,16,17,3,21
517,1,1,20,4,14,7,1,12,1,4
525,1,2,25,4,13,11,1,19,3,18
534,2,3,31,4,13,23,6,11,2,6
535,1,2,38,4,12,10,17,21,5,19
544,1,2,31,4,14,16,5,22,4,24
547,1,1,19,4,12,23,2,13,1,6
551,1,2,20,4,12,25,3,14,3,4
552,1,2,40,4,12,24,16,15,4,16
557,1,3,30,4,14,32,8,35,1,10
558,1,2,29,4,13,20,4,27,4,17
562,1,3,26,4,12,23,8,20,1,7
563,1,1,20,4,12,15,1,12,1,4
576,2,3,31,4,13,20,8,12,2,6
577,2,3,49,4,12,13,13,10,3,10
582,2,1,29,4,14,7,4,13,1,6
584,1,2,40,4,12,22,15,19,2,18
588,1,2,39,4,14,13,10,21,3,18
589,1,2,37,4,14,13,15,22,5,17
599,2,3,37,4,12,20,7,13,3,13
602,1,2,35,4,12,9,10,25,4,17
611,1,2,33,4,12,19,5,32,2,16
612,2,1,33,4,12,24,9,15,1,6
613,1,2,26,4,14,33,3,19,3,18
615,2,1,19,4,12,14,1,12,1,4
618,1,1,19,4,13,6,2,10,1,4
619,1,2,20,4,12,6,3,13,2,6
621,1,3,18,4,12,12,1,14,1,7
623,1,2,20,4,14,33,2,15,3,5
627,2,3,29,4,12,18,3,10,2,5
629,1,2,28,4,12,17,6,20,3,15
630,1,2,25,4,14,23,3,22,2,16
631,1,1,20,4,12,15,2,12,1,4
642,1,2,19,4,13,9,2,14,2,6
643,1,2,34,4,14,32,3,19,3,16
645,1,3,20,4,14,11,2,12,1,4
653,1,2,46,4,14,25,22,20,3,19
655,2,3,28,4,14,6,4,12,1,4
660,2,1,26,4,14,12,1,13,1,6
670,1,1,30,4,14,33,5,37,1,9
671,2,3,27,4,14,5,3,12,1,4
673,2,3,36,4,13,22,11,11,2,12
675,1,2,38,4,14,17,14,26,5,20
677,1,2,42,4,12,35,22,19,4,17
681,2,3,44,4,12,19,16,10,3,13
685,1,2,32,4,15,23,5,22,4,16
701,1,2,27,4,16,19,4,28,4,20
704,1,1,20,4,12,5,2,14,1,6
706,1,1,21,4,12,6,1,15,1,6
710,1,2,45,4,14,26,14,21,3,20
715,1,1,19,4,12,26,1,10,1,4
720,1,2,48,4,16,7,22,26,3,21
721,2,3,22,4,12,10,2,11,1,4
724,2,1,23,4,12,17,1,12,1,4
730,1,2,32,4,14,34,3,30,4,27
731,2,3,26,4,14,6,2,12,2,10
735,1,3,23,4,12,5,2,17,1,4
736,1,3,25,4,12,11,6,17,1,5
743,2,3,31,4,17,29,4,14,3,19
752,1,3,39,4,14,15,14,22,5,23
755,1,2,50,4,16,12,28,23,2,20
758,1,2,20,4,12,7,1,17,2,6
765,2,3,25,4,14,12,1,13,2,5
777,1,2,53,4,16,21,26,20,3,19
780,1,2,50,4,14,27,25,21,3,19
782,1,3,30,4,17,21,5,13,2,14
785,1,2,34,4,12,23,9,22,5,15
787,2,1,31,4,13,25,4,12,1,6
791,1,1,22,4,13,13,2,15,1,6
792,1,2,36,4,14,32,8,29,3,27
797,1,2,46,4,16,34,24,30,4,30
799,1,2,45,4,14,31,24,22,4,29
801,1,2,44,4,16,35,22,26,4,30
804,1,2,37,4,13,20,16,18,3,16
805,1,3,28,4,12,31,2,22,1,5
806,1,1,19,4,12,30,1,10,1,4
808,1,2,35,4,14,31,12,19,4,26
810,1,1,20,4,12,23,1,11,1,6
814,1,1,50,4,14,21,22,20,1,20
825,1,2,52,4,12,23,18,19,2,17
827,2,3,46,4,14,22,11,12,2,4
833,1,2,56,4,16,25,26,25,2,20
841,1,2,27,4,14,25,5,26,4,18
842,2,3,45,4,14,19,14,12,2,5
846,2,3,43,4,14,10,9,13,2,5
850,1,2,39,4,16,14,14,27,5,23
853,1,2,40,4,16,15,19,20,3,19
854,1,2,55,4,14,33,14,18,3,17
860,1,2,52,4,14,18,20,18,3,19
862,1,2,46,4,14,28,18,19,4,20
869,1,1,19,4,12,16,2,10,1,4
874,2,3,32,4,12,7,4,12,1,6
877,2,3,32,4,12,8,7,13,4,18
885,1,2,56,4,14,5,16,18,2,17
891,1,2,40,4,14,5,14,18,4,20
900,2,3,20,4,12,9,1,11,1,6
904,2,1,38,4,12,20,14,13,1,7
910,1,2,28,4,14,11,3,21,2,15
916,2,1,37,4,12,12,13,13,1,6
921,1,2,57,4,14,11,24,24,2,21
928,1,2,59,4,14,22,21,21,2,20
929,1,2,60,4,15,33,29,22,2,19
932,1,2,42,4,16,6,12,28,3,19
933,2,3,37,4,12,16,5,13,4,10
938,1,2,36,4,16,25,16,19,5,15
943,1,2,51,4,14,34,15,24,3,20
946,1,1,19,4,16,14,1,11,1,6
952,1,2,47,4,12,33,17,26,4,20
955,1,2,60,4,16,23,24,20,2,19
960,1,2,55,4,12,23,15,21,2,18
961,2,3,33,4,12,13,11,14,2,14
967,1,2,50,4,16,15,21,30,3,21
970,2,1,41,4,12,8,13,14,3,15
975,1,2,40,4,12,23,15,20,4,18
980,1,2,51,4,16,23,25,33,3,24
985,1,2,54,4,16,7,24,21,3,17
989,1,2,55,4,16,5,24,24,2,18
992,2,3,39,4,12,8,9,13,1,6
1000,2,3,32,4,12,9,3,13,2,6
3,1,2,41,5,12,12,11,16,4,20
14,1,2,45,5,12,28,14,17,3,18
21,1,3,45,5,16,21,20,29,1,28
23,1,3,20,5,14,33,2,10,1,6
62,1,1,20,5,12,28,2,12,1,6
70,1,2,47,5,12,29,17,16,3,17
76,2,1,31,5,12,7,11,11,1,6
79,1,2,59,5,12,9,31,17,2,27
82,2,2,48,5,12,9,8,12,4,10
86,1,1,21,5,12,32,2,12,1,7
92,1,2,53,5,12,29,24,15,3,16
107,1,1,29,5,12,17,4,28,1,6
118,2,1,38,5,16,28,3,12,1,7
128,2,3,28,5,13,5,8,12,3,18
132,1,1,20,5,12,19,2,14,1,8
152,1,2,20,5,14,14,2,16,2,5
154,1,3,55,5,12,20,26,18,1,5
160,1,1,20,5,12,30,1,11,1,5
161,1,1,52,5,12,28,27,17,1,8
164,1,2,44,5,14,33,20,18,4,20
167,1,2,60,5,12,23,28,15,2,15
169,2,2,47,5,12,25,22,18,4,12
173,1,2,42,5,12,12,22,18,4,20
191,2,1,18,5,12,15,1,11,1,5
192,1,3,30,5,12,20,3,30,1,5
196,1,2,18,5,12,11,1,12,2,4
198,1,2,52,5,12,35,26,16,3,17
219,1,2,20,5,12,27,2,14,3,6
252,2,1,33,5,12,15,9,11,1,6
254,2,3,45,5,12,5,15,12,3,17
256,1,2,46,5,16,22,17,24,4,20
260,1,1,20,5,13,11,2,12,1,6
270,2,3,37,5,12,15,14,13,4,20
280,1,3,31,5,12,32,1,25,1,7
281,1,1,18,5,12,27,1,12,1,6
291,1,3,22,5,15,10,3,15,1,7
296,2,3,27,5,12,15,5,12,1,16
300,1,1,21,5,15,18,1,12,1,6
307,1,1,17,5,12,25,1,12,1,5
318,1,2,25,5,12,8,3,18,4,18
320,1,2,28,5,12,20,2,20,5,19
323,2,1,34,5,13,10,13,15,1,6
334,1,1,19,5,12,12,1,12,1,6
339,2,3,48,5,12,13,16,11,4,18
348,1,1,20,5,12,32,2,10,1,4
349,1,1,19,5,12,27,1,12,1,7
358,1,2,19,5,12,10,2,15,2,12
388,1,1,38,5,14,10,4,17,1,8
391,1,2,18,5,12,7,1,15,2,15
392,2,3,46,5,14,12,2,11,2,9
400,1,2,39,5,14,21,4,32,5,27
403,1,1,26,5,16,33,4,17,1,7
410,1,2,21,5,14,25,2,11,2,10
411,1,2,41,5,12,8,13,17,3,18
412,1,3,37,5,12,11,8,22,1,8
414,1,2,32,5,12,31,4,28,4,16
418,1,3,25,5,15,6,1,20,1,6
419,2,1,35,5,12,14,9,14,1,6
425,1,2,32,5,12,9,2,21,4,22
428,1,3,38,5,12,5,7,18,1,7
437,1,2,27,5,12,27,5,21,2,19
444,2,1,25,5,12,13,3,16,1,5
446,1,3,44,5,12,25,20,15,1,6
451,1,2,20,5,12,17,1,13,2,10
454,1,1,22,5,13,11,3,15,1,6
456,1,1,20,5,13,15,2,12,1,4
462,1,2,35,5,12,6,3,18,2,7
468,1,1,34,5,12,22,3,20,1,7
488,1,2,31,5,12,11,7,38,4,27
494,1,2,24,5,12,9,2,16,3,17
495,1,1,19,5,12,26,1,10,1,4
505,1,2,34,5,12,33,1,21,3,15
508,1,1,20,5,12,14,2,10,1,4
509,1,3,36,5,12,14,5,18,1,7
532,1,2,21,5,12,23,2,15,3,6
541,1,3,20,5,12,132,1,12,1,6
550,1,2,41,5,16,25,15,34,3,29
569,1,1,19,5,12,29,1,15,1,6
572,1,1,20,5,14,5,2,13,1,6
592,1,1,21,5,12,29,3,10,1,4
632,1,2,25,5,12,8,3,19,4,15
639,1,1,21,5,12,33,1,15,1,4
646,1,1,24,5,16,35,2,22,1,7
658,1,2,41,5,12,5,11,16,3,19
659,1,2,33,5,16,19,7,41,3,39
665,1,2,26,5,16,14,1,25,4,20
669,1,2,26,5,13,25,6,20,3,18
676,1,1,20,5,12,5,3,12,1,4
691,1,2,21,5,15,7,1,15,2,8
692,1,2,20,5,12,6,2,12,1,6
697,1,2,23,5,12,6,3,15,3,20
707,1,1,38,5,12,17,1,17,1,7
719,1,2,36,5,12,15,4,19,4,14
729,1,2,37,5,12,27,15,19,4,15
732,1,2,28,5,12,20,3,21,3,25
748,1,2,22,5,16,22,1,27,3,13
749,1,2,34,5,12,7,2,19,4,14
760,1,1,19,5,17,9,2,13,1,6
763,1,2,52,5,16,8,22,27,2,20
774,1,2,35,5,12,15,6,27,4,6
788,1,2,25,5,12,35,4,19,4,15
798,1,1,20,5,12,20,1,12,1,5
800,1,1,19,5,12,5,1,10,1,4
859,1,2,48,5,12,14,13,16,3,20
876,1,3,25,5,12,15,2,16,1,7
889,1,2,27,5,16,32,3,27,4,20
914,1,2,38,5,12,16,9,17,3,16
945,1,3,26,5,16,5,2,27,1,5
953,1,2,59,5,14,10,29,18,2,19
995,2,3,24,5,12,19,1,12,2,6
998,1,3,19,5,12,15,1,10,1,4
